insertion_id,scraper_name,start_time,enqueued,dequeued,request_count,response_count,duplicates_filtered_internal,duplicates_filtered_from_others,offsites_filtered,computing_count,undergrad_count,research_count,online_count,current_time,subprocesses,initial_depth,filter_depth,max_depth
1,scraper_1,2022-04-14 01:44:16,1,1,1,1,0,0,0,0,0,0,0,2022-04-14 01:44:16,1,2,8,10
2,scraper_1,2022-04-14 01:44:56,1118,504,504,488,10328,0,11666,247,204,254,227,2022-04-14 01:44:56,1,2,8,10
3,scraper_1,2022-04-14 01:45:24,1482,1006,1006,992,13979,0,16316,420,321,434,363,2022-04-14 01:45:24,1,2,8,10
4,scraper_1,2022-04-14 01:46:32,1839,1508,1508,1492,33544,0,36570,847,727,859,771,2022-04-14 01:46:32,1,2,8,10
5,scraper_1,2022-04-14 01:47:08,2296,2010,2010,1994,46614,0,51188,1143,1002,1169,1061,2022-04-14 01:47:08,1,2,8,10
6,scraper_1,2022-04-14 01:47:17,3023,2520,2520,2507,54278,0,58086,1298,1120,1368,1188,2022-04-14 01:47:17,1,2,8,10
7,scraper_1,2022-04-14 01:47:28,3432,3030,3030,3015,60906,0,63828,1425,1211,1527,1297,2022-04-14 01:47:28,1,2,8,10
8,scraper_1,2022-04-14 01:47:53,3800,3534,3534,3515,81537,0,82845,1774,1544,1886,1627,2022-04-14 01:47:53,1,2,8,10
9,scraper_1,2022-04-14 01:49:12,4274,4035,4035,4016,102186,0,101441,2109,1876,2221,1959,2022-04-14 01:49:12,1,2,8,10
10,scraper_1,2022-04-14 01:51:14,4813,4536,4536,4517,113920,0,112819,2342,2109,2454,2192,2022-04-14 01:51:14,1,2,8,10
11,scraper_1,2022-04-14 01:52:24,5179,5039,5039,5020,138037,0,133662,2733,2487,2844,2575,2022-04-14 01:52:24,1,2,8,10
12,scraper_1,2022-04-14 01:52:41,5729,5545,5545,5526,149232,0,143044,2955,2641,3045,2727,2022-04-14 01:52:41,1,2,8,10
13,scraper_1,2022-04-14 01:53:14,6209,6051,6051,6032,160498,0,153113,3116,2801,3205,2885,2022-04-14 01:53:14,1,2,8,10
14,scraper_1,2022-04-14 01:53:50,6575,6552,6552,6533,198521,0,183167,3591,3274,3680,3360,2022-04-14 01:53:50,1,2,8,10
