log_count/INFO,18
start_time,2022-04-06 20:51:51.912516
scheduler/enqueued/memory,913
scheduler/enqueued,913
scheduler/dequeued/memory,266
scheduler/dequeued,266
downloader/request_count,272
downloader/request_method_count/GET,272
downloader/request_bytes,82765
robotstxt/request_count,6
log_count/DEBUG,3279
downloader/response_count,256
downloader/response_status_count/200,210
downloader/response_bytes,9994970
response_received_count,219
robotstxt/response_count,6
robotstxt/response_status_count/200,3
request_depth_max,15
dupefilter/filtered,9790
offsite/domains,448
offsite/filtered,10477
log_count/ERROR,5
spider_exceptions/IndexError,1
downloader/response_status_count/302,10
downloader/response_status_count/404,9
robotstxt/response_status_count/404,3
httpcompression/response_bytes,16017
httpcompression/response_count,3
downloader/response_status_count/301,27
computing,144
undergraduate,130
research,147
online,132
current_time,2022-04-06 16:52:47.228594
